year,date,median,low,high
2019,2020-01-01,12.0,0,94.66815553452848
2019,2020-01-02,30.0,0,124.41523391060878
2019,2020-01-03,26.0,0,117.36396024947867
2019,2020-01-04,34.0,0,144.46542551101743
2019,2020-01-05,22.0,0,148.01470178353864
2019,2020-01-06,20.0,0,130.32885822310124
2019,2020-01-07,24.0,0,112.19093004227662
2019,2020-01-08,26.0,0,129.19056590391446
2019,2020-01-09,34.0,0,143.12941234150912
2019,2020-01-10,26.0,0,126.00583819020201
2019,2020-01-11,18.0,0,78.57508611472102
2019,2020-01-12,14.0,0,86.03508717308505
2019,2020-01-13,8.0,0,65.09456147073533
2019,2020-01-14,14.0,0,57.06646216520294
2019,2020-01-15,15.0,0,60.75443393081043
2019,2020-01-16,15.0,0,59.950036633515666
2019,2020-01-17,16.0,0,64.5537742136725
2019,2020-01-18,16.0,0,67.11879829835816
2019,2020-01-19,11.0,0,73.06129801486478
2019,2020-01-20,9.0,0,53.01816486562325
2019,2020-01-21,9.0,0,64.63047589571104
2019,2020-01-22,15.0,0,59.114592710924484
2019,2020-01-23,16.0,0,58.94412011951371
2019,2020-01-24,16.0,0,55.620942459289324
2019,2020-01-25,17.0,0,70.46744784025346
2019,2020-01-26,12.0,0,79.8674380497399
2019,2020-01-27,9.0,0,67.75402643179203
2019,2020-01-28,14.0,0,52.061147675380674
2019,2020-01-29,15.0,0,57.716003595807486
2019,2020-01-30,13.0,0,52.880641607505936
2019,2020-01-31,13.0,0,53.27659167184856
2019,2020-02-01,14.0,0,61.17966688938592
2019,2020-02-02,12.0,0,77.61832101231593
2019,2020-02-03,7.0,0,51.70649278330414
2019,2020-02-04,16.0,0,57.042566434956434
2019,2020-02-05,17.0,0,62.27766450325752
2019,2020-02-06,14.0,0,57.28647721967789
2019,2020-02-07,13.0,0,56.89454426226081
2019,2020-02-08,15.0,0,64.91044615046908
2019,2020-02-09,12.0,0,77.15418014328257
2019,2020-02-10,8.0,0,62.59656136380536
2019,2020-02-11,15.0,0,58.92640943170316
2019,2020-02-12,13.0,0,54.90257643742477
2019,2020-02-13,15.0,0,70.68501332716932
2019,2020-02-14,16.0,0,67.64289006337773
2019,2020-02-15,18.0,0,70.42317321548296
2019,2020-02-16,13.0,0,80.9142383521088
