year,date,median,low,high
2019,2020-01-01,0.0,0,16.7067645559879
2019,2020-01-02,2.0,0,22.396427964328687
2019,2020-01-03,2.0,0,23.305814934444232
2019,2020-01-04,2.0,0,22.64377990766514
2019,2020-01-05,2.0,0,15.613244767784147
2019,2020-01-06,0.0,0,11.912662234453773
2019,2020-01-07,2.0,0,17.675219970813703
2019,2020-01-08,2.0,0,19.14537479626256
2019,2020-01-09,2.0,0,21.638236479807542
2019,2020-01-10,2.0,0,21.018965978163468
2019,2020-01-11,1.0,0,10.87573917344293
2019,2020-01-12,1.0,0,7.968653210426533
2019,2020-01-13,1.0,0,6.439157921130186
2019,2020-01-14,1.0,0,44.43914334370357
2019,2020-01-15,1.0,0,50.71323483072155
2019,2020-01-16,1.0,0,46.36306432827532
2019,2020-01-17,1.0,0,42.89241888487985
2019,2020-01-18,1.0,0,41.87864853448609
2019,2020-01-19,1.0,0,33.73088403154746
2019,2020-01-20,1.0,0,27.771338702053633
2019,2020-01-21,1.0,0,6.480578837536517
2019,2020-01-22,1.0,0,10.154070094150715
2019,2020-01-23,1.0,0,10.700393972518295
2019,2020-01-24,1.0,0,10.084247697580853
2019,2020-01-25,1.0,0,10.689617785255809
2019,2020-01-26,1.0,0,7.883575828724391
2019,2020-01-27,0.0,0,5.8965076909112035
2019,2020-01-28,1.0,0,22.872029597569064
2019,2020-01-29,1.0,0,21.06305970630093
2019,2020-01-30,1.0,0,20.634896824943816
2019,2020-01-31,1.0,0,23.308992836743244
2019,2020-02-01,1.0,0,28.486025772926464
2019,2020-02-02,1.0,0,19.841140222107963
2019,2020-02-03,1.0,0,19.097791329256495
2019,2020-02-04,1.0,0,10.334354917406753
2019,2020-02-05,1.0,0,10.544839087984135
2019,2020-02-06,1.0,0,10.270809328183908
2019,2020-02-07,1.0,0,10.850270860872659
2019,2020-02-08,1.0,0,10.565766779939395
2019,2020-02-09,1.0,0,8.027194081346018
2019,2020-02-10,0.0,0,5.405844932225592
2019,2020-02-11,1.0,0,10.462482058998225
